date_inventaire;agence_id;ville;type_carte;stock_disponible;seuil_alerte;responsable_email;dernier_reapprovisionnement
20/04/2026;BA32463;Bouaké;VISA_CLASSIC;511;75;e.zoumana@banqueatlantique.ci;30/03/2026
20/04/2026;BA40115;Bouaké;VISA_GOLD;708;92;c.aka@banqueatlantique.ci;04/04/2026
20/04/2026;BA42077;Abidjan;VISA_CLASSIC;411;76;r.kouadio@banqueatlantique.ci;12/04/2026
20/04/2026;BA44180;Yamoussoukro;MASTERCARD_WORLD;598;94;r.kouadio@banqueatlantique.ci;27/03/2026
20/04/2026;BA49107;San-Pédro;MASTERCARD_STANDARD;689;89;r.kouadio@banqueatlantique.ci;06/04/2026
20/04/2026;BA64053;Abidjan;VISA_GOLD;645;49;r.kouadio@banqueatlantique.ci;17/04/2026
20/04/2026;BA79758;Korhogo;MASTERCARD_WORLD;421;21;e.zoumana@banqueatlantique.ci;19/04/2026
21/04/2026;BA33392;San-Pédro;MASTERCARD_WORLD;402;87;j.assouan@banqueatlantique.ci;16/04/2026
21/04/2026;BA71537;San-Pédro;VISA_PLATINUM;208;67;r.kouadio@banqueatlantique.ci;10/04/2026
21/04/2026;BA78732;Daloa;VISA_GOLD;246;44;c.aka@banqueatlantique.ci;01/04/2026
21/04/2026;BA95686;Divo;VISA_CLASSIC;95;71;j.assouan@banqueatlantique.ci;08/04/2026
22/04/2026;BA49306;San-Pédro;MASTERCARD_STANDARD;188;88;c.aka@banqueatlantique.ci;06/04/2026
22/04/2026;BA70689;Yamoussoukro;VISA_CLASSIC;575;72;d.tape@banqueatlantique.ci;08/04/2026
23/04/2026;BA16755;Bouaké;VISA_PLATINUM;386;97;r.kouadio@banqueatlantique.ci;
23/04/2026;BA43422;Daloa;VISA_GOLD;338;30;j.assouan@banqueatlantique.ci;24/03/2026
23/04/2026;BA72835;San-Pédro;VISA_GOLD;340;58;j.assouan@banqueatlantique.ci;
24/04/2026;BA12246;Yamoussoukro;MASTERCARD_WORLD;714;75;j.assouan@banqueatlantique.ci;29/03/2026
24/04/2026;BA28777;Yamoussoukro;MASTERCARD_WORLD;226;72;d.tape@banqueatlantique.ci;14/04/2026
24/04/2026;BA40692;Daloa;MASTERCARD_WORLD;326;93;r.kouadio@banqueatlantique.ci;04/04/2026
25/04/2026;BA40149;Daloa;MASTERCARD_STANDARD;583;51;c.aka@banqueatlantique.ci;09/04/2026
26/04/2026;BA20357;San-Pédro;VISA_PLATINUM;415;78;c.aka@banqueatlantique.ci;07/04/2026
26/04/2026;BA59081;Yamoussoukro;MASTERCARD_STANDARD;459;68;c.aka@banqueatlantique.ci;
26/04/2026;BA71112;Divo;MASTERCARD_WORLD;664;65;d.tape@banqueatlantique.ci;16/04/2026
26/04/2026;BA90599;Abidjan;VISA_CLASSIC;246;46;d.tape@banqueatlantique.ci;
27/04/2026;BA16145;Abengourou;VISA_PLATINUM;658;68;d.tape@banqueatlantique.ci;01/04/2026
27/04/2026;BA34123;Bouaké;MASTERCARD_WORLD;657;27;j.assouan@banqueatlantique.ci;
27/04/2026;BA41797;Daloa;MASTERCARD_WORLD;720;46;c.aka@banqueatlantique.ci;14/04/2026
27/04/2026;BA55371;Bouaké;VISA_GOLD;282;44;j.assouan@banqueatlantique.ci;28/03/2026
27/04/2026;BA58916;Divo;VISA_CLASSIC;632;98;j.assouan@banqueatlantique.ci;28/03/2026
27/04/2026;BA94108;Yamoussoukro;MASTERCARD_STANDARD;471;41;r.kouadio@banqueatlantique.ci;03/04/2026
2026-04-25;BA12345;Abidjan;VISA_CLASSIC;150;50;j.assouan@banqueatlantique.ci;20/04/2026
25/04/2026;BANQUE-001;Bouaké;VISA_GOLD;80;30;r.kouadio@banqueatlantique.ci;15/04/2026
26/04/2026;BA22222;Yamoussoukro;AMEX_GOLD;40;20;c.aka@banqueatlantique.ci;10/04/2026
26/04/2026;BA33333;San-Pédro;MASTERCARD_STANDARD;-10;25;d.tape@banqueatlantique.ci;
27/04/2026;BA44444;Korhogo;VISA_PLATINUM;99999;50;e.zoumana@banqueatlantique.ci;20/04/2026
27/04/2026;BA55555;Daloa;MASTERCARD_WORLD;200;50;j.assouan@banqueatlantique.ci;30/04/2026
28/04/2026;BA66666;Abengourou;VISA_CLASSIC;120;40;r.kouadio@yahoo.fr;01/04/2026
28/04/2026;BA77777;A;VISA_GOLD;60;20;c.aka@banqueatlantique.ci;15/04/2026
29/04/2026;BA88888;Divo;MASTERCARD_STANDARD;100;30;d.tape@banqueatlantique.ci;20/04/2026
29/04/2026;BA88888;Divo;MASTERCARD_STANDARD;100;30;d.tape@banqueatlantique.ci;20/04/2026
29/04/2026;BA99999;Abidjan;;75;25;e.zoumana@banqueatlantique.ci;
30/04/2026;BA10101;Yamoussoukro ;VISA_PLATINUM;30;15;j.assouan@banqueatlantique.ci;25/04/2026
